Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai Grand i10,Hyundai,Ahmedabad,2018,46689,Petrol,Automatic,2,0,1197.0,83.0,5.0,515000
Renault Duster,Renault,Ahmedabad,2018,40107,Petrol,Automatic,2,0,1498.0,106.0,5.0,587000
Honda Amaze,Honda,Ahmedabad,2015,78011,Petrol,Manual,1,0,1198.0,88.0,5.0,365000
Skoda SLAVIA,Skoda,Ahmedabad,2023,15168,Petrol,Manual,1,0,999.0,115.0,5.0,1037000
Honda City,Honda,Ahmedabad,2012,53237,Petrol,Manual,1,0,1497.0,118.0,5.0,373000
Maruti Dzire,Maruti,Ahmedabad,2018,86832,Petrol,Manual,2,0,1197.0,83.0,5.0,516000
Hyundai VENUE,Hyundai,Ahmedabad,2019,99901,Petrol,Manual,3,0,998.0,120.0,5.0,709000
Maruti Celerio,Maruti,Ahmedabad,2014,106679,Petrol,Automatic,1,0,998.0,68.0,5.0,295000
Hyundai Verna,Hyundai,Ahmedabad,2017,90504,Diesel,Manual,1,0,1582.0,128.0,5.0,712000
Maruti Swift,Maruti,Ahmedabad,2022,38909,Petrol,Manual,1,0,1197.0,90.0,5.0,789000
Ford FREESTYLE,Ford,Ahmedabad,2019,55430,Petrol,Manual,1,0,1194.0,96.0,5.0,470000
Hyundai Creta,Hyundai,Ahmedabad,2016,77051,Petrol,Automatic,1,0,1591.0,123.0,5.0,770000
Honda Brio,Honda,Ahmedabad,2014,114719,CNG,Manual,1,0,1198.0,88.0,5.0,389000
Mahindra XUV300,Mahindra,Ahmedabad,2019,68545,Diesel,Manual,1,0,1497.0,117.0,5.0,686000
Hyundai Creta,Hyundai,Ahmedabad,2017,88545,Diesel,Automatic,2,0,1582.0,128.0,5.0,923000
KIA SELTOS,KIA,Ahmedabad,2020,73055,Diesel,Automatic,2,0,1493.0,115.0,5.0,1261000
Volkswagen Vento,Volkswagen,Ahmedabad,2020,47623,Petrol,Automatic,2,0,999.0,110.0,5.0,752000
Maruti Baleno,Maruti,Ahmedabad,2021,11595,Petrol,Manual,1,0,1197.0,83.0,5.0,681000
Honda Amaze,Honda,Ahmedabad,2019,49376,Petrol,Manual,1,0,1199.0,90.0,5.0,517000
Maruti Alto K10,Maruti,Ahmedabad,2014,49148,Petrol,Manual,1,0,998.0,68.0,5.0,259000
Ford Ecosport,Ford,Ahmedabad,2017,111848,Diesel,Manual,2,0,1498.0,101.0,5.0,538000
Hyundai NEW I20,Hyundai,Ahmedabad,2021,26101,Petrol,Manual,1,0,998.0,120.0,5.0,819000
Maruti Alto 800,Maruti,Ahmedabad,2017,76676,Petrol,Manual,1,0,796.0,48.0,5.0,274000
Hyundai VENUE,Hyundai,Ahmedabad,2022,22171,Petrol,Manual,1,0,1197.0,83.0,5.0,979000
Tata ALTROZ,Tata,Ahmedabad,2020,57353,Petrol,Manual,1,0,1199.0,86.0,5.0,649000
KIA SONET,KIA,Ahmedabad,2021,53366,Petrol,Automatic,1,0,998.0,120.0,5.0,894000
Tata NEXON,Tata,Ahmedabad,2019,44565,Petrol,Manual,1,0,1198.0,110.0,5.0,762000
Maruti Swift Dzire,Maruti,Ahmedabad,2014,44728,Diesel,Manual,1,0,1248.0,75.0,5.0,474000
KIA SELTOS,KIA,Ahmedabad,2021,37844,Diesel,Automatic,1,0,1493.0,115.0,5.0,1517000
Maruti S PRESSO,Maruti,Ahmedabad,2020,66068,Petrol,Automatic,2,0,998.0,68.0,5.0,407000
