Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai VENUE,Hyundai,Delhi,2019,42458,Petrol,Manual,1,0,998.0,120.0,5.0,726000
Hyundai Grand i10,Hyundai,Delhi,2018,32410,Petrol,Manual,1,0,1197.0,83.0,5.0,431000
Hyundai Creta,Hyundai,Delhi,2016,68339,Petrol,Manual,1,0,1591.0,123.0,5.0,753000
Renault Duster,Renault,Delhi,2019,25864,Petrol,Automatic,1,0,1498.0,106.0,5.0,766000
Maruti S Cross,Maruti,Delhi,2022,15983,Petrol,Manual,1,0,1462.0,105.0,5.0,852000
Honda Amaze,Honda,Delhi,2015,41525,Petrol,Manual,1,0,1198.0,88.0,5.0,367000
Nissan MAGNITE,Nissan,Delhi,2022,26453,Petrol,Manual,1,0,999.0,72.0,5.0,575000
KIA SELTOS,KIA,Delhi,2019,27143,Petrol,Manual,1,0,1497.0,115.0,5.0,986000
Tata Safari,Tata,Delhi,2021,30203,Diesel,Manual,1,0,1956.0,170.0,7.0,1595000
Datsun Go Plus,Datsun,Delhi,2018,23055,CNG,Manual,2,0,1198.0,68.0,7.0,337500
Maruti Swift,Maruti,Delhi,2018,27158,Petrol,Manual,2,0,1197.0,83.0,5.0,614000
Nissan MAGNITE,Nissan,Delhi,2021,30455,Petrol,Manual,1,0,999.0,72.0,5.0,533000
Maruti Baleno,Maruti,Delhi,2020,56572,Petrol,Manual,1,0,1197.0,83.0,5.0,658000
Hyundai AURA,Hyundai,Delhi,2020,63013,Petrol,Manual,1,0,998.0,100.0,5.0,696000
Tata Tiago,Tata,Delhi,2020,6827,Petrol,Manual,1,0,1199.0,86.0,5.0,452000
Hyundai Verna,Hyundai,Delhi,2019,40798,Petrol,Automatic,2,0,1591.0,123.0,5.0,877800
Honda WR-V,Honda,Delhi,2017,41985,Petrol,Manual,1,0,1199.0,90.0,5.0,614000
Maruti Dzire,Maruti,Delhi,2017,22148,Petrol,Manual,1,0,1197.0,83.0,5.0,480000
Ford Ecosport,Ford,Delhi,2020,71807,Diesel,Manual,2,0,1498.0,100.0,5.0,787000
Tata NEXON,Tata,Delhi,2021,32265,Diesel,Manual,1,0,1497.0,110.0,5.0,960000
Maruti Eeco,Maruti,Delhi,2022,10783,CNG,Manual,1,0,1197.0,72.0,5.0,613000
Toyota Fortuner,Toyota,Delhi,2017,103102,Diesel,Automatic,1,0,2755.0,177.0,7.0,2215000
