Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Renault Kwid,Renault,Hyderabad,2017,73294,Petrol,Manual,1,0,999.0,68.0,5.0,284000
Maruti Celerio,Maruti,Hyderabad,2023,17447,Petrol,Automatic,1,0,998.0,67.0,5.0,670000
Mahindra Scorpio,Mahindra,Hyderabad,2018,94899,Diesel,Manual,1,0,2179.0,120.0,7.0,882000
Mahindra XUV500,Mahindra,Hyderabad,2020,94607,Diesel,Manual,1,0,2179.0,155.0,7.0,1252000
MG HECTOR,MG,Hyderabad,2020,74145,Diesel,Manual,1,0,1956.0,170.0,5.0,1388000
Maruti Swift Dzire,Maruti,Hyderabad,2011,103579,Petrol,Manual,1,0,1197.0,87.0,5.0,289200
Hyundai Verna,Hyundai,Hyderabad,2019,68080,Diesel,Automatic,2,0,1582.0,128.0,5.0,976000
Ford Ecosport,Ford,Hyderabad,2013,112278,Diesel,Manual,1,0,1498.0,91.0,5.0,416000
Maruti Alto 800,Maruti,Hyderabad,2017,53930,Petrol,Manual,1,0,796.0,48.0,5.0,299000
Honda Civic,Honda,Hyderabad,2019,51426,Petrol,Automatic,1,0,1799.0,141.0,5.0,1475000
Datsun Redi Go,Datsun,Hyderabad,2016,83097,Petrol,Manual,1,0,799.0,54.0,5.0,229000
Volkswagen Vento,Volkswagen,Hyderabad,2021,50711,Petrol,Automatic,2,0,999.0,110.0,5.0,939000
Maruti BREZZA,Maruti,Hyderabad,2022,66111,Petrol,Manual,1,0,1462.0,103.0,5.0,1109000
Hyundai Verna,Hyundai,Hyderabad,2013,90098,Petrol,Manual,1,0,1591.0,123.0,5.0,450000
Maruti Swift,Maruti,Hyderabad,2019,90696,Petrol,Automatic,1,0,1197.0,83.0,5.0,612000
Honda Amaze,Honda,Hyderabad,2019,36170,Petrol,Manual,1,0,1199.0,90.0,5.0,607000
