Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Tata ALTROZ,Tata,Jaipur,2020,27971,Petrol,Manual,1,0,1199,86,5.0,673000
Maruti New Wagon-R,Maruti,Jaipur,2019,39209,Petrol,Automatic,3,0,1197,83,5.0,530000
Hyundai NEW SANTRO,Hyundai,Jaipur,2019,11663,Petrol,Automatic,1,0,1086,69,5.0,495800
Maruti Swift Dzire,Maruti,Jaipur,2016,40143,Petrol,Manual,2,0,1197,84,5.0,465000
Hyundai Creta,Hyundai,Jaipur,2015,84474,Diesel,Automatic,1,0,1582,128,5.0,689000
Hyundai Elite i20,Hyundai,Jaipur,2016,38373,Petrol,Manual,1,0,1197,83,5.0,517000
Hyundai GRAND I10 NIOS,Hyundai,Jaipur,2021,24124,Petrol,Automatic,1,0,1197,83,5.0,626000
Hyundai Eon,Hyundai,Jaipur,2014,44051,Petrol,Manual,1,0,814,56,5.0,237000
Honda Brio,Honda,Jaipur,2015,45765,Petrol,Automatic,1,0,1198,88,5.0,355000
Maruti Ciaz,Maruti,Jaipur,2017,70635,Diesel,Manual,1,0,1248,90,5.0,607000
Ford Ecosport,Ford,Jaipur,2018,46047,Petrol,Automatic,1,0,1497,123,5.0,766000
KIA SONET,KIA,Jaipur,2021,12341,Petrol,Manual,1,0,1197,83,5.0,726000
