Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai Elite i20,Hyundai,Mumbai,2014,60702,Petrol,Manual,1,0,1197,83,5.0,419000
Maruti New Wagon-R,Maruti,Mumbai,2020,20785,Petrol,Manual,1,0,1197,83,5.0,516000
Maruti Celerio,Maruti,Mumbai,2019,35436,CNG,Manual,1,0,998,59,5.0,549000
Hyundai Elite i20,Hyundai,Mumbai,2017,98272,Petrol,Manual,1,0,1197,83,5.0,513000
Maruti Wagon R 1.0,Maruti,Mumbai,2017,22280,Petrol,Manual,1,0,998,68,5.0,384000
Hyundai Elite i20,Hyundai,Mumbai,2016,46613,Petrol,Manual,1,0,1197,83,5.0,504000
Toyota Innova,Toyota,Mumbai,2015,121038,Diesel,Manual,1,0,2494,102,7.0,903000
Hyundai Xcent,Hyundai,Mumbai,2014,54098,Petrol,Manual,2,0,1197,83,5.0,363000
Hyundai Grand i10,Hyundai,Mumbai,2016,70453,Petrol,Automatic,1,0,1197,83,5.0,426000
Mahindra XUV300,Mahindra,Mumbai,2022,16454,Diesel,Manual,1,0,1497,117,5.0,1025000
Maruti New Wagon-R,Maruti,Mumbai,2019,25824,Petrol,Manual,1,0,1197,83,5.0,518000
Maruti Swift Dzire,Maruti,Mumbai,2015,84530,Petrol,Manual,1,0,1197,84,5.0,369000
Hyundai Creta,Hyundai,Mumbai,2017,89501,Petrol,Manual,1,0,1591,123,5.0,675000
Hyundai Elite i20,Hyundai,Mumbai,2016,46186,Petrol,Manual,1,0,1197,83,5.0,522000
Hyundai Grand i10,Hyundai,Mumbai,2018,86975,Petrol,Automatic,1,0,1197,83,5.0,526000
Honda City,Honda,Mumbai,2017,38411,Petrol,Manual,1,0,1497,119,5.0,672000
Maruti Baleno,Maruti,Mumbai,2017,49544,Petrol,Manual,2,0,1197,84,5.0,454000
Maruti New Wagon-R,Maruti,Mumbai,2019,11829,Petrol,Manual,2,0,1197,83,5.0,501000
Honda City,Honda,Mumbai,2015,91885,Diesel,Manual,2,0,1498,100,5.0,478000
Maruti Celerio,Maruti,Mumbai,2017,42234,Petrol,Automatic,1,0,998,68,5.0,408000
Maruti Wagon R 1.0,Maruti,Mumbai,2016,51265,Petrol,Manual,1,0,998,68,5.0,348000
Maruti Baleno,Maruti,Mumbai,2017,35708,Petrol,Manual,1,0,1197,84,5.0,530500
Nissan MAGNITE,Nissan,Mumbai,2022,33145,Petrol,Manual,1,0,999,72,5.0,658000
Maruti Baleno,Maruti,Mumbai,2019,16547,Petrol,Automatic,2,0,1197,84,5.0,600000
Tata Harrier,Tata,Mumbai,2019,52045,Diesel,Manual,2,0,1956,140,5.0,1268000
