Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai GRAND I10 NIOS,Hyundai,Kolkata,2020,32265,Petrol,Manual,1,0,1197,83,5.0,459000
Maruti Alto,Maruti,Kolkata,2022,7278,Petrol,Manual,1,0,796,48,5.0,363000
Volkswagen Ameo,Volkswagen,Kolkata,2017,46630,Diesel,Automatic,2,0,1498,110,5.0,422000
Maruti IGNIS,Maruti,Kolkata,2020,7816,Petrol,Manual,1,0,1197,83,5.0,507000
Hyundai GRAND I10 NIOS,Hyundai,Kolkata,2020,17610,Petrol,Automatic,1,0,1197,83,5.0,585300
Hyundai NEW SANTRO,Hyundai,Kolkata,2020,11476,Petrol,Automatic,2,0,1086,69,5.0,471000
Hyundai AURA,Hyundai,Kolkata,2020,14593,Petrol,Manual,1,0,1197,83,5.0,654000
Tata NEXON,Tata,Kolkata,2023,15457,Petrol,Manual,2,0,1199,120,5.0,1009000
Maruti Wagon R 1.0,Maruti,Kolkata,2017,11549,Petrol,Manual,2,0,998,68,5.0,382000
Maruti Alto,Maruti,Kolkata,2020,38205,Petrol,Manual,1,0,796,48,5.0,351300
Hyundai i20 Active,Hyundai,Kolkata,2017,35563,Petrol,Manual,1,0,1197,83,5.0,518000
Maruti Dzire,Maruti,Kolkata,2018,42417,Petrol,Manual,2,0,1197,83,5.0,523850
Honda Amaze,Honda,Kolkata,2021,28522,Petrol,Manual,1,0,1199,90,5.0,728000
Renault Kwid,Renault,Kolkata,2016,34108,Petrol,Manual,1,0,799,54,5.0,218000
Maruti Dzire,Maruti,Kolkata,2017,47083,Petrol,Manual,2,0,1197,83,5.0,542000
Mahindra XUV500,Mahindra,Kolkata,2019,55744,Diesel,Manual,1,0,2179,155,7.0,1122000
Maruti Alto,Maruti,Kolkata,2021,19253,Petrol,Manual,1,0,796,48,5.0,410000
Hyundai Grand i10,Hyundai,Kolkata,2018,19556,Petrol,Manual,1,0,1197,83,5.0,433000
Hyundai VENUE,Hyundai,Kolkata,2019,45341,Petrol,Manual,1,0,998,120,5.0,844000
Tata ALTROZ,Tata,Kolkata,2023,4247,Petrol,Manual,1,0,1199,86,5.0,786000
Hyundai Creta,Hyundai,Kolkata,2017,96115,Diesel,Manual,1,0,1582,128,5.0,738000
Hyundai Verna,Hyundai,Kolkata,2018,34218,Petrol,Manual,1,0,1591,123,5.0,782000
Maruti Wagon R 1.0,Maruti,Kolkata,2017,42734,Petrol,Manual,2,0,998,68,5.0,352000
Honda Jazz,Honda,Kolkata,2015,44170,Petrol,Manual,1,0,1199,90,5.0,419000
Renault TRIBER,Renault,Kolkata,2023,3408,Petrol,Automatic,1,0,999,72,7.0,810000
Hyundai VENUE,Hyundai,Kolkata,2020,24931,Petrol,Manual,2,0,998,120,5.0,824300
Maruti Dzire,Maruti,Kolkata,2018,71141,Petrol,Automatic,2,0,1197,83,5.0,570000
Maruti Wagon R 1.0,Maruti,Kolkata,2013,62223,Petrol,Manual,1,0,998,68,5.0,242000
Volkswagen Polo,Volkswagen,Kolkata,2018,32127,Petrol,Manual,1,0,999,76,5.0,568000
Maruti IGNIS,Maruti,Kolkata,2018,43443,Petrol,Manual,1,0,1197,83,5.0,457000
