Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Tata Tiago,Tata,Chennai,2020,51999,Petrol,Manual,1,0,1199,86,5.0,455000
Tata PUNCH,Tata,Chennai,2023,12032,Petrol,Automatic,1,0,1199,88,5.0,905000
Maruti Swift,Maruti,Chennai,2016,70948,Petrol,Manual,3,0,1197,84,5.0,438000
Honda Jazz,Honda,Chennai,2015,69184,Petrol,Manual,3,0,1199,90,5.0,423000
Hyundai Grand i10,Hyundai,Chennai,2017,37169,Petrol,Automatic,2,0,1197,83,5.0,503000
Hyundai Grand i10,Hyundai,Chennai,2016,28490,Petrol,Manual,2,0,1197,83,5.0,436000
Renault TRIBER,Renault,Chennai,2021,60402,Petrol,Manual,2,0,999,72,7.0,549000
Maruti Baleno,Maruti,Chennai,2016,65018,Petrol,Manual,1,0,1197,84,5.0,497000
Maruti Baleno,Maruti,Chennai,2020,70579,Petrol,Automatic,2,0,1197,83,5.0,720450
Mahindra XUV300,Mahindra,Chennai,2020,45546,Petrol,Manual,1,0,1197,110,5.0,818000
Hyundai Grand i10,Hyundai,Chennai,2016,91489,Petrol,Manual,1,0,1197,83,5.0,393000
Skoda Rapid,Skoda,Chennai,2018,112816,Petrol,Automatic,1,0,1598,105,5.0,657800
Honda Civic,Honda,Chennai,2019,59404,Petrol,Automatic,3,0,1799,140,5.0,1308000
Honda City,Honda,Chennai,2020,74145,Petrol,Manual,1,0,1498,121,5.0,1053000
Volkswagen Polo,Volkswagen,Chennai,2016,71394,Petrol,Automatic,2,0,1197,105,5.0,600100
Honda Amaze,Honda,Chennai,2019,44220,Petrol,Manual,1,0,1199,90,5.0,609000
Maruti Celerio,Maruti,Chennai,2017,97455,Petrol,Manual,1,0,998,68,5.0,382000
Maruti Swift,Maruti,Chennai,2021,28464,Petrol,Manual,1,0,1197,90,5.0,641000
Hyundai Grand i10,Hyundai,Chennai,2015,41168,Petrol,Manual,2,0,1197,83,5.0,416000
Hyundai Creta,Hyundai,Chennai,2019,56435,Diesel,Manual,1,0,1582,128,5.0,1103000
Honda City,Honda,Chennai,2014,62179,Petrol,Manual,1,0,1497,119,5.0,569000
Maruti Swift Dzire,Maruti,Chennai,2016,88396,Diesel,Automatic,2,0,1248,75,5.0,572000
Tata Tiago,Tata,Chennai,2023,7563,Petrol,Automatic,1,0,1199,86,5.0,738000
Hyundai Elite i20,Hyundai,Chennai,2015,112967,Petrol,Manual,1,0,1197,83,5.0,447000
Honda Jazz,Honda,Chennai,2016,122231,Petrol,Manual,1,0,1199,90,5.0,451000
Renault Kwid,Renault,Chennai,2016,77748,Petrol,Manual,2,0,799,54,5.0,299000
Renault TRIBER,Renault,Chennai,2021,34398,Petrol,Automatic,1,0,999,72,7.0,659000
Tata Tiago,Tata,Chennai,2017,89908,Petrol,Automatic,1,0,1199,85,5.0,436000
Maruti Baleno,Maruti,Chennai,2019,75921,Petrol,Manual,2,0,1197,84,5.0,599600
Tata ALTROZ,Tata,Chennai,2020,28160,Petrol,Manual,1,0,1199,86,5.0,646000
Maruti Wagon R 1.0,Maruti,Chennai,2017,39121,Petrol,Manual,1,0,998,68,5.0,422000
Volkswagen Ameo,Volkswagen,Chennai,2016,107362,Diesel,Manual,1,0,1498,110,5.0,479000
Nissan Micra,Nissan,Chennai,2018,55569,Petrol,Automatic,1,0,1198,77,5.0,468000
Maruti Celerio,Maruti,Chennai,2018,119383,Petrol,Automatic,1,0,998,68,5.0,392000
Honda City,Honda,Chennai,2013,83714,Petrol,Manual,2,0,1497,118,5.0,445000
Honda Jazz,Honda,Chennai,2019,50509,Petrol,Automatic,1,0,1199,90,5.0,709000
Hyundai VENUE,Hyundai,Chennai,2019,43611,Petrol,Automatic,1,0,998,120,5.0,858000
Tata Safari,Tata,Chennai,2021,35408,Diesel,Automatic,1,0,1956,170,6.0,1759000
Hyundai Elite i20,Hyundai,Chennai,2015,99660,Petrol,Manual,2,0,1197,83,5.0,441000
Volkswagen Ameo,Volkswagen,Chennai,2018,35772,Petrol,Manual,3,0,999,76,5.0,544000
Hyundai i10,Hyundai,Chennai,2012,98925,Petrol,Manual,2,0,1197,80,5.0,269000
Honda Amaze,Honda,Chennai,2023,8459,Petrol,Automatic,1,0,1199,90,5.0,977000
Hyundai Creta,Hyundai,Chennai,2018,79499,Petrol,Automatic,2,0,1591,123,5.0,815000
Skoda Rapid,Skoda,Chennai,2015,73511,Diesel,Automatic,3,0,1498,105,5.0,494000
Hyundai Creta,Hyundai,Chennai,2022,8909,Petrol,Automatic,1,0,1353,140,5.0,1732000
Maruti Alto K10,Maruti,Chennai,2014,50925,Petrol,Manual,2,0,998,68,5.0,252000
Hyundai VENUE,Hyundai,Chennai,2021,39165,Petrol,Manual,1,0,998,120,5.0,841000
Datsun Redi Go,Datsun,Chennai,2018,45877,Petrol,Automatic,1,0,999,68,5.0,327000
Maruti Swift,Maruti,Chennai,2017,32663,Petrol,Manual,2,0,1197,84,5.0,484000
Volkswagen Polo,Volkswagen,Chennai,2016,87579,Diesel,Manual,1,0,1498,90,5.0,611000
Hyundai ALCAZAR,Hyundai,Chennai,2022,23365,Diesel,Manual,2,0,1493,115,7.0,1654000
Tata NEXON,Tata,Chennai,2021,20758,Petrol,Automatic,1,0,1199,120,5.0,1003000
Skoda Rapid,Skoda,Chennai,2020,46285,Petrol,Manual,1,0,999,110,5.0,815000
Maruti Celerio,Maruti,Chennai,2022,16952,Petrol,Manual,1,0,998,67,5.0,587000
KIA SELTOS,KIA,Chennai,2020,64659,Petrol,Manual,1,0,1497,115,5.0,1008000
Maruti Vitara Brezza,Maruti,Chennai,2020,54344,Petrol,Manual,1,0,1462,105,5.0,734000
Nissan MAGNITE,Nissan,Chennai,2022,16044,Petrol,Manual,1,0,999,100,5.0,821000
Nissan MAGNITE,Nissan,Chennai,2021,60281,Petrol,Automatic,1,0,999,100,5.0,773800
Maruti Alto 800,Maruti,Chennai,2013,65153,Petrol,Manual,1,0,796,48,5.0,252000
Maruti IGNIS,Maruti,Chennai,2022,22309,Petrol,Automatic,2,0,1197,83,5.0,679000
Tata Harrier,Tata,Chennai,2019,26286,Diesel,Manual,1,0,1956,140,5.0,1303700
Maruti IGNIS,Maruti,Chennai,2017,51920,Petrol,Manual,1,0,1197,83,5.0,443000
Honda City,Honda,Chennai,2014,87306,Petrol,Automatic,1,0,1497,119,5.0,513500
Maruti Swift,Maruti,Chennai,2017,81355,Petrol,Manual,2,0,1197,84,5.0,516000
Skoda Rapid,Skoda,Chennai,2018,97557,Diesel,Automatic,1,0,1498,110,5.0,731000
Honda Jazz,Honda,Chennai,2017,61312,Petrol,Automatic,2,0,1199,90,5.0,544000
Tata Safari,Tata,Chennai,2022,23488,Diesel,Automatic,1,0,1956,170,6.0,1970000
Renault Kwid,Renault,Chennai,2020,53297,Petrol,Automatic,2,0,999,68,5.0,473000
Toyota Glanza,Toyota,Chennai,2021,36927,Petrol,Automatic,1,0,1197,83,5.0,789000
Honda City,Honda,Chennai,2019,68238,Petrol,Manual,1,0,1497,119,5.0,776000
Toyota URBAN CRUISER,Toyota,Chennai,2022,30938,Petrol,Automatic,1,0,1462,105,5.0,1075000
Hyundai Grand i10,Hyundai,Chennai,2018,39083,Petrol,Manual,1,0,1197,83,5.0,528000
