Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Datsun Redi Go,Datsun,Coimbatore,2019,29871,Petrol,Automatic,2,0,999,68,5.0,350000
Maruti New Wagon-R,Maruti,Coimbatore,2023,8443,Petrol,Manual,1,0,1197,90,5.0,685000
Hyundai NEW SANTRO,Hyundai,Coimbatore,2019,35698,Petrol,Manual,1,0,1086,69,5.0,424000
Maruti Alto 800,Maruti,Coimbatore,2017,71356,Petrol,Manual,2,0,796,48,5.0,335000
Renault TRIBER,Renault,Coimbatore,2022,12816,Petrol,Manual,1,0,999,72,7.0,730000
Honda Amaze,Honda,Coimbatore,2018,46946,Petrol,Automatic,2,0,1498,80,5.0,679000
Hyundai i20 Active,Hyundai,Coimbatore,2016,50950,Petrol,Manual,1,0,1197,83,5.0,660000
Honda Jazz,Honda,Coimbatore,2018,65489,Petrol,Manual,2,0,1199,90,5.0,599200
Mahindra XUV300,Mahindra,Coimbatore,2022,14084,Petrol,Manual,1,0,1197,110,5.0,1221000
Hyundai GRAND I10 NIOS,Hyundai,Coimbatore,2022,19137,Petrol,Manual,1,0,998,100,5.0,787000
Maruti Celerio,Maruti,Coimbatore,2022,18935,Petrol,Manual,1,0,998,67,5.0,557000
Hyundai i10,Hyundai,Coimbatore,2012,108071,Petrol,Manual,3,0,1197,80,5.0,245000
Renault Kwid,Renault,Coimbatore,2022,9383,Petrol,Manual,1,0,999,68,5.0,573000
Tata ALTROZ,Tata,Coimbatore,2021,33287,Petrol,Manual,1,0,1199,110,5.0,768300
Hyundai Elite i20,Hyundai,Coimbatore,2016,37125,Petrol,Manual,2,0,1197,83,5.0,660000
Hyundai Creta,Hyundai,Coimbatore,2021,31997,Petrol,Manual,1,0,1497,115,5.0,1104000
Honda City,Honda,Coimbatore,2020,56879,Petrol,Manual,1,0,1498,121,5.0,1005000
Honda Brio,Honda,Coimbatore,2015,54021,Petrol,Automatic,3,0,1198,88,5.0,355000
Ford Ecosport,Ford,Coimbatore,2018,95912,Petrol,Manual,2,0,1497,123,5.0,690000
Hyundai Elite i20,Hyundai,Coimbatore,2017,79963,Petrol,Manual,2,0,1197,83,5.0,524000
Volkswagen Vento,Volkswagen,Coimbatore,2017,68770,Petrol,Automatic,2,0,1197,105,5.0,671000
Renault Kwid,Renault,Coimbatore,2017,47474,Petrol,Automatic,1,0,999,68,5.0,396700
Tata NEXON,Tata,Coimbatore,2021,33905,Petrol,Manual,1,0,1199,120,5.0,882000
Maruti Celerio,Maruti,Coimbatore,2015,95608,Petrol,Automatic,1,0,998,68,5.0,400000
Honda Jazz,Honda,Coimbatore,2021,29006,Petrol,Manual,2,0,1199,90,5.0,749000
Ford Ecosport,Ford,Coimbatore,2018,98837,Diesel,Manual,1,0,1498,101,5.0,699000
Hyundai GRAND I10 NIOS,Hyundai,Coimbatore,2022,34672,CNG,Manual,2,0,1197,69,5.0,628000
Ford Ecosport,Ford,Coimbatore,2019,110692,Diesel,Manual,1,0,1498,101,5.0,758000
Hyundai Elite i20,Hyundai,Coimbatore,2014,91731,Petrol,Manual,3,0,1197,83,5.0,444000
Maruti Alto,Maruti,Coimbatore,2019,20984,Petrol,Manual,1,0,796,48,5.0,378000
Toyota Glanza,Toyota,Coimbatore,2022,12312,Petrol,Automatic,1,0,1197,90,5.0,914000
Datsun Redi Go,Datsun,Coimbatore,2018,75309,Petrol,Manual,1,0,799,54,5.0,274000
Maruti Eeco,Maruti,Coimbatore,2019,33774,Petrol,Manual,1,0,1196,73,5.0,460000
