Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai Creta,Hyundai,Bangalore,2019,51652,Petrol,Automatic,1,0,1591,123,5.0,1211000
Honda City,Honda,Bangalore,2019,30264,Petrol,Automatic,1,0,1497,119,5.0,1168000
Maruti Ritz,Maruti,Bangalore,2014,73631,Petrol,Manual,2,0,1197,87,5.0,376300
Maruti Dzire,Maruti,Bangalore,2019,58029,Petrol,Manual,1,0,1197,83,5.0,694000
Tata Tiago,Tata,Bangalore,2016,53919,Petrol,Manual,2,0,1199,85,5.0,378000
Hyundai NEW SANTRO,Hyundai,Bangalore,2019,43454,Petrol,Manual,1,0,1086,69,5.0,475000
Skoda Rapid,Skoda,Bangalore,2013,67426,Petrol,Manual,1,0,1598,105,5.0,491000
Ford Ecosport,Ford,Bangalore,2016,98741,Diesel,Manual,2,0,1498,101,5.0,627000
Maruti Swift,Maruti,Bangalore,2013,30359,Petrol,Manual,1,0,1197,87,5.0,475000
Maruti Dzire,Maruti,Bangalore,2018,19437,Petrol,Manual,1,0,1197,83,5.0,713000
Hyundai Elite i20,Hyundai,Bangalore,2015,69680,Petrol,Manual,2,0,1197,83,5.0,563000
Hyundai Verna,Hyundai,Bangalore,2018,70838,Petrol,Manual,1,0,1368,100,5.0,706000
Tata NEXON,Tata,Bangalore,2022,30058,Petrol,Manual,1,0,1199,120,5.0,1194000
Mahindra XUV300,Mahindra,Bangalore,2019,41165,Petrol,Manual,2,0,1197,110,5.0,983000
Maruti Ciaz,Maruti,Bangalore,2020,44980,Petrol,Automatic,1,0,1462,105,5.0,877000
Maruti Alto K10,Maruti,Bangalore,2016,19613,Petrol,Manual,2,0,998,68,5.0,372000
Maruti New Wagon-R,Maruti,Bangalore,2020,15178,Petrol,Manual,1,0,1197,83,5.0,593000
Maruti Ciaz,Maruti,Bangalore,2020,12867,Petrol,Automatic,1,0,1462,105,5.0,979700
Maruti Swift,Maruti,Bangalore,2011,104553,Petrol,Manual,1,0,1197,85,5.0,358000
Maruti OMNI E,Maruti,Bangalore,2014,64243,Petrol,Manual,1,0,796,37,8.0,279000
Maruti Celerio,Maruti,Bangalore,2018,95626,Petrol,Automatic,2,0,998,68,5.0,416000
Tata ALTROZ,Tata,Bangalore,2021,20428,Petrol,Manual,1,0,1199,86,5.0,626000
Hyundai Elite i20,Hyundai,Bangalore,2017,10914,Petrol,Manual,1,0,1197,83,5.0,569000
Datsun Redi Go,Datsun,Bangalore,2016,79233,Petrol,Manual,1,0,799,54,5.0,239500
Tata PUNCH,Tata,Bangalore,2023,1848,Petrol,Automatic,1,0,1199,86,5.0,973000
